questionid	existing_question_id	questiontype	totalanswers	question	questionImage	answer1	answer1Image	answer2	answer2Image	answer3	answer3Image	answer4	answer4Image	answer5	answer5Image	correctanswer	hint	hintImage	difficultylevel	question_type	status	worksheet_id	assigned_worksheet_ids	topic	attempt_counter	section_name	section_marks	section	Rand
10389	0	SingleAnswer	4	Which of the following pane is not available in Task Pane?		Slide Design		Master Slide		Slide Layout		Slide Transition				b	Master slide pane is not available in Task Pane.				Active	C09MSPMAN12		N	0		1		1
32448	0	SingleAnswer	4	What moves one screen to the right?		Alt + Page Up		Arrow keys		Alt + F4		Alt + Page Down				a	Only Page Up moves one screen Up.				Active	C07MSEJYO21		N	0		1		2
43988	43988	SingleAnswer	4	<p>What is MIP?</p>		<p>Microphone</p>		<p>Microprocessor</p>		<p>Micro paper</p>		<p>Microspore</p>				b	<p>It is a Microprocessor.</p>				Active	C07EVOTAN12		Evolution Of Computers	0		1		2
58124	58124	SingleAnswer	4	<p>Which of the following is the main function of the transport layer?</p>		<p>Node to node delivery</p>		<p>End to end delivery</p>		<p>Synchronization</p>		<p>Updating and maintaining routing tables</p>		C		b	<p>The main function of the transport layer is end to end delivery.</p>				Active	C04COMJYO12		Computer Networks	0		1		2
59853	0	SingleAnswer	4	For the following questions choose the statement expressed correctly		Please buy the following at the grocery store peas milk ice cream bananas.		Please buy the following at the grocery store: peas, milk, ice cream and bananas.		Please buy the following at the grocery store: Peas, Milk, Ice cream and Bananas.		Please buy the following at the grocery store: peas and milk and ice cream and bananas.				b	Before starting the list colon (:) should be used and while stating the material in the list the items should be separated using commas.				Active	E05SPOSHE11		N	0		1		1
66259	0	SingleAnswer	4	<p>Growing children need more _______________ containing foods.</p>		<p>carbohydrate</p>		<p>fat</p>		<p>protein</p>		<p>mineral</p>		I		c	<p>Proteins are bodybuilding food items. Growing children need more protein-containing foods.</p>				Active	S03FOOPAL21		N	0		1		2
66631	0	SingleAnswer	4	<p>How many days does the moon take to go around the earth?</p>		<p>24 days</p>		<p>26 days</p>		<p>27.3 days</p>		<p>30 days</p>		F		c					Active	S04EARBHU22		N	0		1		2
82187	82187	<p>SingleAnswer</p>	4	<p>Find the perimeter of the&nbsp;shape given below. In rectangle ABCD, AB = 20 cm and BC = 14 cm. The&nbsp;perimeter of the circle AEDF is 22 cm.</p>	M04PERJYA12q29.png	<p>57 cm</p>		<p>65 cm</p>		<p>68 cm</p>		<p>None of the above</p>				d	<p>Perimeter of shape= AB + BC + CD + perimeter of circle</p> <p>P= 20 + 14 + 20 + 22= 76 cm</p>				Active	M04PERPAR21		Perimeter of Various Shapes	0		1		2
82497	0	SingleAnswer	4	<p>Solve:</p> <p>(4/2) &divide; (8/2) &divide; (16/2)</p>		<p>4</p>		<p>1/4</p>		<p>1/16</p>		<p>1/2</p>				c	<p>(4/2) &divide; (8/2) &divide; (16/2) = (4 x 2 x 2)/(2 x 8 x 16) = 1/16</p>				Active	M05FRAPAR12		N	0		1		2
92793	0	SingleAnswer	4	<p>The _____ are a symbol of the high culture of dynastic ancient Egypt.</p>		<p>Pyramids</p>		<p>Minars</p>		<p>Forts</p>		<p>Palace</p>				a	<p>The pyramids are a symbol of the high culture of dynastic ancient Egypt.</p>				Active	G03HISVIS12		N	0		1		2
100278	100304	SingleAnswer	4	What kind of food do we get from a cow?		Milk		Nectar		Water		Mushroom				a	Cow gives milk which is a vital nutritious food for us.				Active	S03MIXAIS21		Science	0		1		2
120367	0	SingleAnswer	4	<p>________________ the alarm goes off, I will get ready for the school.</p>		<p>As soon as</p>		<p>Now</p>		<p>Before</p>		<p>After</p>				a	<p>Immediately when the alarm goes off, I will get ready daily. So, 'as soon as' is used.</p>		0	<p>Fill in the blank with subordinating conjunction:</p>	Active	E08CONSAK21		N	0		1		1
120768	0	SingleAnswer	4	<p>She tried to lose 4 kg ________________ one month.</p>		<p>at</p>		<p>to</p>		<p>on</p>		<p>in</p>				d	<p>'In' is used for unspecific times during a day, month, season or year. Here, it is around a month not exactly 1 month.</p>		0	<p>Choose the appropriate preposition to complete the sentence:</p>	Active	E08PRESAK11		N	0		1		2
123226	0	<p>SingleAnswer</p>	4	<p>An iron ball at 60<sup>o</sup>C is dropped in a mug containing water at 60<sup>o</sup>C. The temperature of water ______.</p>		<p>slightly increase</p>		<p>decrease</p>		<p>remain same</p>		<p>increase</p>				c					Active	S07HEAVAN12		N	0		1		1
124804	124804	SingleAnswer	4	<p>Which android version is this?</p>	C09MIXTEJ21q14.png	<p>Cupcake</p>		<p>IceCream Sandwich</p>		<p>Froyo</p>		<p>Donut</p>		F		b	<p>Android 4.0&ndash;4.0.4 "Ice Cream Sandwich" is a discontinued version of the Android mobile operating system developed by Google.</p>				Active	C09MIXTEJ21		Cyber	0		1		1
140512	0	SingleAnswer	4	The famous character 'Pickwick' was created by		Steven Spielberg		Leo Tolstoy		Walt Disney		Charles dickens				d	The famous character 'Pickwick' was created by Charles dickens.				Active	G06BOOTEJ11		N	0		1		2
145820	0	SingleAnswer	4	<p>It allow remote access or control of a computer by a third party. What is it?</p>		<p>Bugs</p>		<p>Rootkits</p>		<p>Trojan Horses</p>		<p>Bots</p>		F		b	<p>Once installed on your computer, rootkits allow attackers to take complete control of your machine to steal data or install other pieces of malware.</p>				Active	C10INTIND21		N	0		1		2
146305	0	SingleAnswer	4	<p>If the last day of the month is Wednesday, then what will be the day on 16th of the next month?</p>		<p>Friday</p>		<p>Saturday</p>		<p>Sunday</p>		<p>Monday</p>				a	<p>Last day of the month is a Wednesday, then 16th of the next month will be Friday.</p>		0		Active	L04DAYJYO12		N	0		1		1
146518	0	SingleAnswer	4	<p>Which of the following is the best example for a mixture?</p>		<p>Sugar solution</p>		<p>Air</p>		<p>Drinking water</p>		<p>All the above</p>				d	<p>A substance which is composed of two or more substances, in which each component retains its unique property, is called a mixture.</p>				Active	S06SORANJ11		N	0		1		1
147599	165132	<p>SingleAnswer</p>	4	<p>Abdul, while driving to school, computes the average speed for his trip to be 20 km/h. On his return trip along the same route, there is less traffic and the average speed is 30 km/h. What is the average speed for Abdul&rsquo;s trip?</p>		<p>22 km/h</p>		<p>24 km/h</p>		<p>26 km/h</p>		<p>28 km/h</p>				b					Active	S09MIXMAN31		Science	0		1		1
149567	0	SingleAnswer	4	Pakistan does not have good relations with the neighbouring countries.		relations		neighbouring		Pakistan		good				c				Choose the proper noun from the given sentence:	Active	E06NOUPRI22		N	0		1		2
151172	151172	SingleAnswer	4	<p>&nbsp;Which sound is made by the animal in the given image?</p>	E02SPEHIM11q47.png	<p>sing</p>		<p>oink</p>		<p>hiss</p>		<p>coo</p>				c	<p>Snake makes the sound of a hiss.</p>				Active	E02SPEHIM12		Spellings, Animals, Sounds, Clothes	0		1		2
162452	0	SingleAnswer	4	If figure no.18 is the first figure, which is the last figure?	L01RANRASH11q25.png	Figure 8		Figure 12		Figure 16		Figure 10				a					Active	L01RANRASH11		N	0		1		2
173580	0	SingleAnswer	4	<p>1. Inter 2. Iteration 3. Insulate 4. Ivy 5. Insulin</p>		<p>Insulate</p>		<p>Iteration</p>		<p>Insulin</p>		<p>Ivy</p>				d	<p>The correct order is 3, 5, 1, 2 and 4. Reverse of it is 4, 2, 1, 5 and 3. First number is 4.</p>		0	<p>Arrange the given words in Alphabetical Order and choose the one that comes first from the reverse order:</p>	Active	L10ANAPAL22		N	0		1		2
191330		SingleAnswer	4	<p>Which was the following book was written by Gandhi?</p>		<p>Discovery of India</p>		<p>My Experiment with Truth</p>		<p>India wins Freedom</p>		<p>Freedom at Midnight</p>		0		b	<p>My Experiment with Truth was written by Gandhi.</p>				Active	G02BOOUZM11		N	0		1		1
227092		SingleAnswer	4	<p>We excrete waste products through sweat, urine and stool. _________ is needed for all these activities.</p>		<p>Potassium</p>		<p>Vitamin K</p>		<p>Water</p>		<p>Mineral</p>		C		c	<p>We excrete waste products through sweat, urine and stool. Water is needed for all these activities.</p>				Active	S04L02ALP41		Miscellaneous	0		1		2
237686		SingleAnswer	4	Fill in the blank with correctly spelled word:<br>The magician used great _____________ in performing his tricks before the attentive audience.		legerdemain		legerdomain		legardemain		lagerdemain				a	"Legerdemain" mains sleight of hand.				Active	E07L02MAH12			0		1		1
244266		SingleAnswer	4	"Derrick is a selfish person. He will some day put us all in trouble."<br>Choose sentences by changing the adjective to a noun. Choose from the following.		Derrick's selfishy will some day put us all in trouble.		Derrick's selfishness will some day put us all in trouble.		Derrick's selfishence will some day put us all in trouble.		Derrick's selfishance will some day put us all in trouble.				b	"Selfishness" is the nominalised form of "selfish" and this follows the process of adding "-ness" as a suffix.				Active	E10L02MAH81			0		1		1
244922		SingleAnswer	4	Fill in the blank with modal:<br>The Vice Chairman of our committee __________ deliver his budget speech tomorrow morning.		shall		should		will		would				c	"Will" is used for formal announcements regarding some future event.				Active	E09L02MAH51			0		1		2
247530	63990	SingleAnswer	4	What type of webpage provides an overview of all the pages on a website?		Larry Page		Site Map		Home Page		About Page		F		b					Active	C04INUJYO22		N	0		1		2
281079		<p>Arihant general science</p>	4	<p>Lack of atmosphere around the moon is due to ____________.</p>		<p>low escape velocity of air molecule and low gravitational attraction</p>		<p>high escape velocity of air molecule and low gravitational attraction</p>		<p>low gravitational attraction only</p>		<p>high escape velocity of air molecule only</p>				a			1	<p>Fill in the blank:</p>	Active	S09GRAVAN21		Gravitation	0		1		1
422957	79224	<p>SingleAnswer</p>	4	<p>Which animal constitute the highest population of the zoo?</p>		<p>Tiger</p>		<p>Monkey</p>		<p>Lion</p>		<p>Deer</p>				b				<p>In a zoo, there are 12 monkeys, 3 tigers, 4 crocodiles, 2 lions, 6 rabbits and 5 deers.</p>	Active	M07DATRIA22		Data Handling | Range, frequency	0		1		2
423895	0	<p>SingleAnswer</p>	4	<p>The reciprocal of 2 <sup>13</sup>/<sub>33</sub> is _________.</p>		<p>79/33</p>		<p>33/66</p>		<p>33/79</p>		<p>66/33</p>				c	<p>= 2 <sup>13</sup>/<sub>33</sub> = (66 + 13)/33 = 79/33 =&gt; Reciprocal of 79/33 = 33/79</p>				Active	M07RATGUN03		Rational Numbers | Reciprocal of rational numbers	0		1		1
424026	0	<p>SingleAnswer</p>	4	<p>Solve the equation and find the value of variable: <br />3 - 2(3 - x) = 19</p>		<p>x = (-11)</p>		<p>x = 11</p>		<p>x = 15</p>		<p>x = (-12)</p>				b					Active	M07SIMALO22		Simple Equations | Solving simple equations	0		1		2
272889		SingleAnswer	4	<p>If P is to the South of Q, R is the East of Q then what direction is P with respect to R?</p>		<p>North-East</p>		<p>North-West</p>		<p>South-West</p>		<p>South-East</p>				c			1		Active	L07CREST002	L07CREST002	Direction Sense Test	0	Logical Reasoning (Each Question 1 Mark)	1	0	2
278362		<p>Arpita</p>	4	<p>Which devices allow you to draw in MS Paint?</p> <p><audio controls="controls"><source src="https://crestolympiads.com/assets/audio-class01/278362.mp3" /></audio></p>			C01CREST003Q2a.png		C01CREST003Q2b.png		C01CREST003Q2c.png		C01CREST003Q2d.png			a			1		Active	C01CREST009	C01CREST009	Computers - A Smart Machine	0	Computers and IT (Each Question 1 Mark)	1	0	1
283204		SingleAnswer	4	<p>Find the missing number:&nbsp;<br />128 + 314 - ? = 653 - 482</p>		<p>271</p>		<p>583</p>		<p>571</p>		<p>143</p>				a	<p>128+314-?=653-482<br />442-?=171<br />?=271</p>		2		Active	M02CREST001	M02CREST001	Computation operations	0	Achievers' Section (Each Question 2 Marks)	2	0	1
283744		SingleAnswer	4	<p>( 94 - ___ ) &times; 3 = 19 &times; 6</p>		<p>34</p>		<p>38</p>		<p>42</p>		<p>56</p>				d	<p>( 94 - ___ ) &times;3 = 19 &times; 6<br />( 94 - ___ ) &times; 3 = 114<br />94 - ____ = 38<br />94 - 56 = 38</p>		2	<p>Fill in the blank:</p>	Active	M04CREST004	M04CREST004	Numbers	0	Achievers' Section (Each Question 2 Marks)	2	0	2
288933		<p>Foundation Mathematics class 8</p>	4	<p>Given AB = 3 cm, BC = 5cm, AC = 9 cm, AD = 6 cm, CD = 2 cm. Which of the following is true about the construction of a quadrilateral?</p>		<p>It is possible to draw the quadrilateral</p>		<p>It is not possible to draw the equadrilateral since AD + DC &lt; AC</p>		<p>It is possible to draw the quadrilateral since AD + DC &lt; AC</p>		<p>None of these</p>				b	<p>Here it is given that AD + DC &lt; AC which does not satisfy triangle inequality and hence quadrilateral can not be drawn<br />The&nbsp;Triangle Inequality Theorem&nbsp;states that the sum of any 2 sides of a&nbsp;triangle&nbsp;must be greater than the measure of the third side.</p>		2		Active	M08L02CRE02	M08L02CRE02	Understanding Quadrilaterals	0	Achievers' Section (Each Question 2 Marks)	2	0	1
328253		Elizabeth	4	The new phones are <strong>selling like hot cakes</strong>. Do you think the company will increase the production?		getting rid of substandard things		proving to be a commercial success		selling cheap because they are defective		disposing off with a great deal of effort		F		b			1	Choose the meaning of the idiom used in the sentence:	Active	B05CRESPE006	B05CRESPE006	Word Ensemble (Each question carries 1 mark)	0	NULL	1	1	1
334410		<p>Archa</p>	4	<p>A plant X grows in black soil and requires a warm climate with moderate rainfall to thrive well. It is a natural fibre obtained from the fruit of the plant. Identify X:</p>		<p>Jute</p>		<p>Cotton</p>		<p>Hemp</p>		<p>Flax</p>		F		b	<p>Cotton is obtained from the fruit of the plant.</p>		1		Active	S06CREST010	S06CREST010	Fibre to Fabric	0	Practical Science (Each Question 1 Mark)	1	0	2
378439		Nakul	4	Find out the number of misspelt words in the given set of words and multiply the answer by '2'.<br>obsessive, lathargic, blissful, loathe, obsecure		2		4		6		0		F		b			1		Active	B06SPWELI09	B06SPWELI09	Word Tally (Each question carries 1 mark)	0	NULL	1	1	1
387080		Amrita	4	famished										F		famished			1		Active	B08CRESPE011	B08CRESPE011	Rapid Fire (Each question carries 1 mark)	0	NULL	1	2	2
398769	337429	<p>Sumita</p>	4	<p>Which of the following means of transport causes the least pollution?</p>			S03CREST010Q18a.png		S03CREST010Q18b.png		S03CREST010Q18c.png		S03CREST010Q18d.png	F		a			1		Active	S03TEAOLY07	S03TEAOLY07	Transport and Communication	0	Practical Science (Each Question 3 Marks)	3	0	2
402038		Vrinda	4	Tim started his homework at 7:05 pm and finished it by 8:15 pm. How much time did it take him to finish his homework?			A04MENMAT01Q66a.png		A04MENMAT01Q66b.png		A04MENMAT01Q66c.png		A04MENMAT01Q66d.png	F		c	7:05 to 8:15 = 1 hr 10 min		1		Active	A04MENMAT01	A04MENMAT01	Measurement	0	Basique (Each Question 1 Mark)	1	0	1
403127		Siddarath	4	Find the volume of a sphere whose radius is 6 cm.		893.46 cm<sup>3</sup>		975 cm<sup>3</sup>		686 cm<sup>3</sup>		904.32 cm<sup>3</sup>		F		d			1		Active	A10MENMAT01	A10MENMAT01	Mensuration: Surface area and volume of cubes, cuboids, spheres, hemispheres and right circular cylinders/cones	0	Basique (Each Question 1 Mark)	1	0	1
406415		Sid	4	If a = 2, b = 3 and x = 4. Find the value of (x + a) (x + b),		44		48		46		42		F		d			2		Active	A08MENMAT03	A08MENMAT03	Algebra: Simple equations	0	Avance (Each Question 2 Marks)	2	0	1
407325		Vrinda	4	Identify the shape.	A04MENMAT05Q73.png		A04MENMAT05Q73a.png		A04MENMAT05Q73b.png		A04MENMAT05Q73c.png		A04MENMAT05Q73d.png	F		b			1		Active	A04MENMAT04	A04MENMAT04	Geometry: Identify the shape like triangle, circle, kite, square, rectangle etc.	0	Basique (Each Question 1 Mark)	1	0	2
417053		Neha	4	Which digits from 1 to 9 have the mirror image same as the digit itself?		8		7		6		5		F		a			1		Active	A08MENMAT09	A08MENMAT09	Playing with Numbers: Mathematical reasoning	0	Basique (Each Question 1 Mark)	1	0	1
419161		Monika	4	Find out the number of misspelt words in the sentence:<br>As an intelectual, she delved into books of various gaunres, expanding her knowlege and braodening her perspectives.		2		3		0		4		F		d			1		Active	B06SPWELI011	B06SPWELI011	Word Fusion (Each question carries 1 mark)	0	NULL	1	1	2
428575		<p>Siddharth</p>	4	<p>What is the perimeter of the given figure?</p>	A05MENMAT12Q26.png	<p>18 cm</p>		<p>19 cm</p>		<p>20 cm</p>		<p>22 cm</p>		F		a			1		Active	A05MENMAT12	A05MENMAT12	Understanding Elementary Shapes: Measuring and comparing the line segment	0	Basique (Each Question 1 Mark)	1	0	2
429459		Sid	4	Sarah, Rachel, and Mark are partners in a business venture. Sarah invested $15,000 for 4 months, while Rachel and Mark each invested $10,000 for the entire year. If at the end of the year, the business made a profit of $3,600, how much of this profit should be allocated to Sarah's share?		$650		$720		$750		$800		F		b			1		Active	A09MENMAT12	A09MENMAT12	Comparing Quantities: Partnership	0	Basique (Each Question 1 Mark)	1	0	1
429766		Sid	4	If the ratio of areas of two similar triangles is 9 : 16, then the ratio of their corresponding sides is		03:04		01:02		05:04		02:03		F		a			1		Active	A10MENMAT07	A10MENMAT07	Mensuration: Area of triangle	0	Basique (Each Question 1 Mark)	1	0	2
442456		Vrinda	4	Which addition in the petal does not result in the middle number on the flower?	A01MENMAT12Q10.png		A01MENMAT12Q10a.png		A01MENMAT12Q10b.png		A01MENMAT12Q10c.png		A01MENMAT12Q10d.png	F		a	9 + 4 = 13<br>7 + 5 = 12<br>8 + 4 = 12<br>9 + 3 = 12		2		Active	A01MENMAT12	A01MENMAT12	Addition and Subtraction	0	Avance (Each Question 2 Marks)	2	0	2
464870	318845	<p>Science &amp; I.T. Olympiad-3</p>	4	<p>Which one of the following statements is correct about the Jupiter?</p>		<p>Jupiter is the name of a planet.</p>		<p>Jupiter is the largest planet in our solar system.</p>		<p>Jupiter has dark rings which are made up of dust and tiny pieces of rock</p>		<p>All of these</p>		F		d			1		Active	S03TEAOLY13	S03TEAOLY13	Properties of Matter	0	Practical Science (Each Question 3 Marks)	3	0	2
465851	449231	<p>Promila</p>	4	<p>In birds such as chickens, the presence of a gizzard is critical for their digestive process. What is the primary function of the gizzard in birds, and how does it compensate for other anatomical features they lack?</p>		<p>It stores food temporarily, similar to a stomach.</p>		<p>It grinds down food due to the absence of teeth.</p>		<p>It secretes digestive enzymes like the pancreas.</p>		<p>It absorbs nutrients directly into the bloodstream.</p>		F		b			2		Active	S10TEAOLY07	S10TEAOLY07	Life Processes	0	Achievers' Section (Each Question 6 Marks)	6	0	1
488695		Sneha	4	Find the misspelt word in the sentence: <br>He felt apprihensive before the final match.		felt		apprihensive		before		final		F		b	The correct spelling is "apprehensive".		1		Active	B05CRESPE019	B05CRESPE019	Word Cookie (Each question carries 1 mark)	0	NULL	1	1	1
513992		Kunal	4	How can you change the order in which objects animate in a slide?		Using Format tab		Using Slide Sorter view		Using Animation Pane		By changing layout		F		c	Animation Pane lets you drag and reorder animation sequences.		1		Active	C07CREST002	C07CREST002	MS PowerPoint	0	Computers & IT	1	0	2
